alloc_seq,free_at_seq,size,type,obj_id
1,2,24,java.util.ArrayList,357863579
2,3,16,java.lang.Object,114132791
3,4,16,java.lang.Object,328638398
4,5,16,java.lang.Object,3447021
5,6,16,java.lang.Object,1032616650
6,7,16,java.lang.Object,566034357
7,8,16,java.lang.Object,1720435669
8,9,16,java.lang.Object,2052915500
9,10,16,java.lang.Object,127618319
10,11,16,java.lang.Object,2036958521
11,12,16,java.lang.Object,785992331
12,13,16,java.lang.Object,234698513
13,14,16,java.lang.Object,649734728
14,15,16,java.lang.Object,998351292
15,16,16,java.lang.Object,335471116
16,17,16,java.lang.Object,2017354584
17,18,16,java.lang.Object,1935637221
18,19,16,java.lang.Object,321142942
19,20,16,java.lang.Object,610984013
20,21,16,java.lang.Object,1393931310
21,22,16,java.lang.Object,1566723494
22,23,16,java.lang.Object,1622006612
23,24,16,java.lang.Object,1286783232
24,25,16,java.lang.Object,1632392469
25,26,16,java.lang.Object,760563749
26,27,16,java.lang.Object,1810132623
27,28,16,java.lang.Object,846492085
28,29,16,java.lang.Object,152005629
29,30,16,java.lang.Object,362239120
30,31,16,java.lang.Object,423031029
31,32,16,java.lang.Object,1225373914
32,33,16,java.lang.Object,759156157
33,34,16,java.lang.Object,1698156408
34,35,16,java.lang.Object,884457408
35,36,16,java.lang.Object,1845066581
36,37,16,java.lang.Object,905654280
37,38,16,java.lang.Object,1419810764
38,39,16,java.lang.Object,1516369375
39,40,16,java.lang.Object,1394336709
40,41,16,java.lang.Object,120960120
41,42,16,java.lang.Object,546718765
42,43,16,java.lang.Object,592179046
43,44,16,java.lang.Object,1641808846
44,45,16,java.lang.Object,750044075
45,46,16,java.lang.Object,310656974
46,47,16,java.lang.Object,159259014
47,48,16,java.lang.Object,356473385
48,49,16,java.lang.Object,110992469
49,50,16,java.lang.Object,2091156596
50,51,16,java.lang.Object,1508395126
51,52,16,java.lang.Object,972765878
52,54,24,Node,1007251739
53,72,24,Node,194494468
54,72,24,Node,853993923
55,72,24,Node,1702146597
56,72,24,Node,591723622
57,72,24,Node,95395916
58,72,24,Node,1778535015
59,72,24,Node,24433162
60,72,24,Node,519821334
61,72,24,Node,1307096070
62,72,24,Node,2081303229
63,72,24,Node,1076835071
64,72,24,Node,1525262377
65,72,24,Node,1418428263
66,72,24,Node,1836643189
67,72,24,Node,1597462040
68,72,24,Node,853119666
69,72,24,Node,1144648478
70,72,24,Node,600746945
71,72,24,Node,1458849419
72,73,416,int[],981661423
73,74,216,java.lang.String[],1681595665
